formula,ionic_conductivity,id,log_conductivity,cif_path
Pb6.12Ca1.9Li1.96(PO4)6,1e-15,hai,-15.0,data/cifs/165.cif
Li0.284Sm4.512Si3O12.91,1e-15,ux3,-15.0,data/cifs/166.cif
Li3(NH2)2I,1e-05,tvf,-5.0,data/cifs/167.cif
Ba3LiTa5ZrSi4O26,1e-15,u8r,-15.0,data/cifs/168.cif
Li3N,0.0005767,gvd,-3.2390500485891027,data/cifs/169.cif
Fe2Na2K(Li3Si12O30),1e-15,uex,-15.0,data/cifs/170.cif
Li3P,0.000703,11b,-3.153044674980176,data/cifs/171.cif
Li3N,0.0002085,fft,-3.6808939406902237,data/cifs/172.cif
Li5La3Nb2O12,8e-06,68u,-5.096910013008056,data/cifs/173.cif
(K0.1Li0.9)(SbO3),1.36e-08,vy5,-7.866461091629782,data/cifs/174.cif
Li8GeP4,1.8e-05,rwr,-4.7447274948966935,data/cifs/175.cif
Li8SiP4,4.5e-05,pql,-4.346787486224656,data/cifs/176.cif
Li3AlN2,5e-08,br1,-7.301029995663981,data/cifs/177.cif
Li2MgTi3O8,1e-15,dl7,-15.0,data/cifs/178.cif
Li2CoTi3O8,1e-15,i12,-15.0,data/cifs/179.cif
Li2CoGe3O8,1e-15,aui,-15.0,data/cifs/180.cif
Li2ZnGe3O8,1e-15,mfs,-15.0,data/cifs/181.cif
(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4,6.56e-10,jl4,-9.18309616062434,data/cifs/182.cif
(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,1.53e-11,jkq,-10.8153085691824,data/cifs/183.cif
Li6PO5Cl,1e-09,jy6,-9.0,data/cifs/184.cif
Li2VCl4,6.95e-06,yav,-5.158015195409886,data/cifs/185.cif
Li6PS5Cl0.25Br0.75,0.00186,9yt,-2.7304870557820835,data/cifs/186.cif
Li6PS5Cl,0.00205,122,-2.688246138944246,data/cifs/187.cif
Li6PS5Cl0.5Br0.5,0.00333,ij5,-2.4775557664936803,data/cifs/188.cif
Li6PS5Br,0.00115,6jf,-2.939302159646388,data/cifs/189.cif
Li6PS5Br0.5I0.5,2.62e-05,ymc,-4.581698708680254,data/cifs/190.cif
Li6PS5I,1.3e-06,ywe,-5.886056647693163,data/cifs/191.cif
Li6PS5Cl0.75Br0.25,0.00226,kgl,-2.6458915608525992,data/cifs/192.cif
Li6PS5Br0.75I0.25,0.000112,vqj,-3.9507819773298185,data/cifs/193.cif
Li6PS5Br0.25I0.75,4.72e-06,h82,-5.3260580013659125,data/cifs/194.cif
Li6PS5Br,0.000701,9zr,-3.1542819820333414,data/cifs/195.cif
Li6.025P0.975Si0.025S5Br,0.000878,a8v,-3.0565054840938974,data/cifs/196.cif
Li6.05P0.95Si0.05S5Br,0.000437,09w,-3.359518563029578,data/cifs/197.cif
Li6.075P0.925Si0.075S5Br,0.000873,x2v,-3.0589857562944305,data/cifs/198.cif
Li6.1P0.95Si0.1S5Br,0.000799,bnh,-3.097453220686009,data/cifs/199.cif
Li6.125P0.875Si0.125S5Br,0.000902,x9d,-3.0447934624580584,data/cifs/200.cif
Li6.175P0.825Si0.175S5Br,0.000931,ish,-3.0310503190186573,data/cifs/201.cif
Li6.2P0.8Si0.2S5Br,0.00169,iiy,-2.7721132953863266,data/cifs/202.cif
Li6.225P0.775Si0.225S5Br,0.00108,3zo,-2.96657624451305,data/cifs/203.cif
Li6.25P0.75Si0.25S5Br,0.00141,vj7,-2.85078088734462,data/cifs/204.cif
Li6.3P0.7Si0.3S5Br,0.00165,wsd,-2.7825160557860937,data/cifs/205.cif
Li6.35P0.65Si0.35S5Br,0.00234,10s,-2.630784142589857,data/cifs/206.cif
Li6.5P0.5Si0.5S5Br,0.00219,fkj,-2.6595558851598815,data/cifs/207.cif
Li7Ge3PS12,0.00011,24k,-3.958607314841775,data/cifs/208.cif
Li6PS5Br,0.00277,nig,-2.5575202309355514,data/cifs/209.cif
Li6P(S4.9Se0.1)Br,0.0032,z16,-2.494850021680094,data/cifs/210.cif
Li6P(S4.8Se0.2)Br,0.00392,hbz,-2.406713932979543,data/cifs/211.cif
Li6P(S4.7Se0.3)Br,0.00362,uut,-2.441291429466834,data/cifs/212.cif
Li6P(S4.6Se0.4)Br,0.00364,cju,-2.438898616350944,data/cifs/213.cif
Li6P(S4.5Se0.5)Br,0.00268,d9l,-2.571865205971211,data/cifs/214.cif
Li6P(S4.4Se0.6)Br,0.00278,96f,-2.555955204081924,data/cifs/215.cif
Li6P(S4.3Se0.7)Br,0.00301,1kq,-2.5214335044061564,data/cifs/216.cif
Li6P(S4.2Se0.8)Br,0.00348,c6e,-2.4584207560534193,data/cifs/217.cif
Li6P(S4.1Se0.9)Br,0.00382,t2c,-2.417936637088291,data/cifs/218.cif
Li6P(S4Se)Br,0.00361,dlj,-2.4424927980943423,data/cifs/219.cif
Li6PS5Br,3.2e-05,w87,-4.494850021680094,data/cifs/220.cif
Li6PS5Cl,3.3e-05,97p,-4.481486060122113,data/cifs/221.cif
Li6PS5I,0.00022,p9u,-3.657577319177794,data/cifs/222.cif
Li6PS5I,1.26e-06,5wz,-5.8996294548824375,data/cifs/223.cif
Li6.6P0.4Ge0.6S5I,0.00521,pa1,-2.2831622767004753,data/cifs/224.cif
Li6.7P0.3Ge0.7S5I,0.00554,lxk,-2.25649023527157,data/cifs/225.cif
Li6.8P0.2Ge0.8S5I,0.00258,1m8,-2.58838029403677,data/cifs/226.cif
LiCe(BH4)3Cl,0.000103,ga9,-3.987162775294828,data/cifs/227.cif
Li8GeP4,8.6e-05,240,-4.0655015487564325,data/cifs/228.cif
Li4B7O12Cl,2e-06,6l9,-5.698970004336019,data/cifs/229.cif
Fe0.16La2.95Li5.68Zr2O12,0.000935,mtr,-3.0291883891274822,data/cifs/230.cif
Fe0.19La2.95Li5.57Zr2O12,0.00138,s2v,-2.8601209135987635,data/cifs/231.cif
Li3ClO,0.025,4p7,-1.6020599913279623,data/cifs/232.cif
Li0.31La0.63(Ti0.9Co0.1)O3,0.00026,gas,-3.5850266520291822,data/cifs/233.cif
Li2(OH)Br,1.2e-06,hx7,-5.920818753952375,data/cifs/234.cif
(La0.55Li0.45)(Ti0.9Al0.1)O3,0.00151,lk8,-2.8210230527068307,data/cifs/235.cif
(La0.6Li0.4)(Ti0.8Al0.2)O3,0.000568,lud,-3.245651664288981,data/cifs/236.cif
(La0.65Li0.35)(Ti0.7Al0.3)O3,0.000161,vlm,-3.7931741239681505,data/cifs/237.cif
(La0.7Li0.3)(Ti0.6Al0.4)O3,1.04e-07,gwu,-6.982966660701219,data/cifs/238.cif
Li3OBr,1.1e-06,qbb,-5.958607314841775,data/cifs/239.cif
Li0.19La0.67(Ti0.9Co0.1)O3,0.000108,9ph,-3.96657624451305,data/cifs/240.cif
Li6NBr3,1e-08,kkn,-8.0,data/cifs/241.cif
Li(Li0.34Ti1.66)O4,6.03e-08,m0v,-7.219682687859849,data/cifs/242.cif
(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4,1.73e-08,6du,-7.761953896871205,data/cifs/243.cif
(Li0.826Mg0.174)(Li0.374Mg0.026Ti1.60)O4,4.24e-09,u0c,-8.372634143407268,data/cifs/244.cif
(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4,1.51e-09,xub,-8.821023052706831,data/cifs/245.cif
Li2MnCl4,4.79e-06,bjw,-5.319664486585437,data/cifs/246.cif
Li2MgCl4,6.24e-07,dvn,-6.204815410317576,data/cifs/247.cif
Li1.9Mn0.9Ga0.1Cl4,2.37e-07,t3k,-6.6252516539898965,data/cifs/248.cif
Li1.65Mn0.65In0.35Cl4,9.9e-08,uxi,-7.00436480540245,data/cifs/249.cif
LiSrNb2O6F,1e-15,ek5,-15.0,data/cifs/250.cif
LiSrTa2O6F,1e-15,xut,-15.0,data/cifs/251.cif
LiSr0.9Nb2O6F0.8,1e-15,ckw,-15.0,data/cifs/252.cif
LiSr0.9Ta2O6F0.8,1e-15,yab,-15.0,data/cifs/253.cif
Li1.1SrNb1.9Zr0.1O6F,1e-15,ysm,-15.0,data/cifs/254.cif
Li1.1SrTa1.9Zr0.1O6F,1e-15,e81,-15.0,data/cifs/255.cif
Li6CaLa2Nb2O12,1.6e-06,uaz,-5.795880017344075,data/cifs/256.cif
Li5La3Ta2O12,6.61e-06,ka6,-5.179798540514359,data/cifs/257.cif
Li6BaLa2Ta2O12,2.95e-05,7o7,-4.530177984021837,data/cifs/258.cif
Li6.4La3Zr1.4Ta0.6O12,0.001,kji,-3.0,data/cifs/259.cif
Li6.2La3Zr1.2Ta0.8O12,0.00032,gdr,-3.494850021680094,data/cifs/260.cif
Li6.6La3Zr1.6Ta0.4O12,0.00047,2wb,-3.3279021420642825,data/cifs/261.cif
Li5La3Ta2O12,3.4e-05,hcm,-4.468521082957745,data/cifs/262.cif
Li6.7La3Zr1.7Ta0.3O12,0.00069,e6a,-3.161150909262745,data/cifs/263.cif
Li6.5La3Zr1.5Ta0.5O12,0.00028,g5q,-3.552841968657781,data/cifs/264.cif
Li6.05Ga0.25La3Zr2O11.8F0.2,0.00128,4ie,-2.8927900303521317,data/cifs/265.cif
Li6.5La3Zr1.75Mo0.25O12,0.000333,9o6,-3.4775557664936803,data/cifs/266.cif
Li5La3Bi2O12,1.9e-05,kbq,-4.721246399047171,data/cifs/267.cif
Li6La2SrBi2O12,2e-05,uw9,-4.698970004336019,data/cifs/268.cif
Li5Nd3Sb2O12,1.3e-07,vqu,-6.886056647693163,data/cifs/269.cif
Li4Nd3TeSbO12,8.7e-09,lpt,-8.060480747381382,data/cifs/270.cif
Li5La3Sb2O12,7.8e-06,xog,-5.107905397309519,data/cifs/271.cif
Li6SrLa2Sb2O12,6.3e-06,bi3,-5.200659450546418,data/cifs/272.cif
Li6(La2Ca)(NbO6)2,1.33e-06,gcj,-5.876148359032914,data/cifs/273.cif
Li6(La2Sr)(NbO6)2,3.69e-06,20k,-5.432973633840939,data/cifs/274.cif
Li6CaLa2Ta2O12,2.2e-06,jej,-5.657577319177793,data/cifs/275.cif
Li6BaLa2Ta2O12,1.3e-05,hud,-4.886056647693163,data/cifs/276.cif
Li6.75La3Zr1.75Ta0.25O12,0.00087,7w5,-3.0604807473813813,data/cifs/277.cif
Li7La3Zr2O12,1.97e-06,etz,-5.705533773838407,data/cifs/278.cif
Li6BaLa2Ta2O12,1.69e-05,ner,-4.772113295386326,data/cifs/279.cif
Nd3Zr2Al0.5Li5.5O12,3.9e-05,z2s,-4.4089353929735005,data/cifs/280.cif
(Li6.26Al0.24)La3Zr2O12,0.00021,72f,-3.677780705266081,data/cifs/281.cif
Li6La3Nb1.5Y0.5O12,0.000188,j5g,-3.72584215073632,data/cifs/282.cif
Li5.2La3Nb1.9Y0.1O12,6.39e-05,dvb,-4.1944991418416,data/cifs/283.cif
Li5.4La3Nb1.8Y0.2O12,6.74e-05,cti,-4.17134010346468,data/cifs/284.cif
Li5.5La3Nb1.75Y0.25O12,9.18e-05,2d1,-4.037157318798758,data/cifs/285.cif
Li6Ba0.5Sr0.5La2Ta2O12,7.1e-06,sqm,-5.1487416512809245,data/cifs/286.cif
Li6SrLa2Ta2O12,5.4e-06,zxr,-5.267606240177032,data/cifs/287.cif
Li6BaLa2Ta2O12,1.5e-05,h89,-4.823908740944319,data/cifs/288.cif
Li6CaLa2Ta2O12,2.2e-06,l9r,-5.657577319177793,data/cifs/289.cif
Li5.74La3Zr1.5Ta0.5O12,0.000903,ueu,-3.0443122496864943,data/cifs/290.cif
La3Li5.08Ta1.51Zr0.39O12,0.000103,uwh,-3.987162775294828,data/cifs/291.cif
Li51.2Al1.6La24Zr16O96,0.000254,wa3,-3.595166283380062,data/cifs/292.cif
Li49.6Al1.6La24Zr14.4Ta1.6O96,0.000614,l6h,-3.211831628858832,data/cifs/293.cif
Li5La3Ta2O12,1.59e-05,gz8,-4.798602875679548,data/cifs/294.cif
Li5.3La3Ta1.85Sm0.15O12,7.11e-06,419,-5.148130399270234,data/cifs/295.cif
Li5.5La3Ta1.75Sm0.25O12,5.17e-06,c0g,-5.286509456906058,data/cifs/296.cif
Li5.70La3Ta1.65Sm0.35O12,2.15e-05,kbu,-4.667561540084395,data/cifs/297.cif
Li5.90La3Ta1.55Sm0.45O12,1.18e-05,fam,-4.928117992693875,data/cifs/298.cif
Li6.10La3Ta1.45Sm0.55O12,1.4e-05,dae,-4.853871964321762,data/cifs/299.cif
Li5La3Nb2O12,5.08e-06,gkl,-5.294136287716081,data/cifs/300.cif
Li6.6La3Zr1.6Sb0.4O12,0.00077,duf,-3.113509274827518,data/cifs/301.cif
Li6.5La3Nb1.25Y0.75O12 ,0.00027,3rh,-3.5686362358410126,data/cifs/302.cif
Li6.5La3Zr1.5Ta0.5O12 ,0.00092,kh3,-3.036212172654445,data/cifs/303.cif
Li6.8La3Zr1.8Ta0.2O12 ,0.00028,o5q,-3.552841968657781,data/cifs/304.cif
Li5La3Sb2O12,3.33e-06,tbj,-5.47755576649368,data/cifs/305.cif
Li4SnS3Se,7.5e-05,ar1,-4.1249387366083,data/cifs/306.cif
Li4SnSSe3,9.5e-07,cz2,-6.022276394711152,data/cifs/307.cif
Li4SnS2Se2,3.6e-05,klr,-4.443697499232712,data/cifs/308.cif
Li4SnSe4,4.5e-08,mn3,-7.346787486224656,data/cifs/309.cif
Li4Ge0.75Sn0.25Se4,6e-06,o0a,-5.221848749616356,data/cifs/310.cif
Li4Ge0.50Sn0.50Se4,1.8e-06,qer,-5.7447274948966935,data/cifs/311.cif
Li4Ge0.25Sn0.75Se4,8.3e-07,aab,-6.080921907623926,data/cifs/312.cif
Li4GeS3Se,8.5e-06,1ty,-5.070581074285707,data/cifs/313.cif
Li4GeS2Se2,2.8e-05,zv5,-4.552841968657781,data/cifs/314.cif
Li4GeSe4,5e-06,xk3,-5.301029995663981,data/cifs/315.cif
Li4GeSSe3,1.5e-05,i4l,-4.823908740944319,data/cifs/316.cif
Li10GeP2S12,0.0076,zzr,-2.1191864077192086,data/cifs/317.cif
Li10Ge0.66Sn0.33P2S12,0.0064,kop,-2.193820026016113,data/cifs/318.cif
Li10Ge0.33Sn0.66P2S12,0.0048,rty,-2.318758762624413,data/cifs/319.cif
Li10SnP2S12,0.0038,kko,-2.42021640338319,data/cifs/320.cif
